3344,74,1
3498,74,0
4207,74,1
4347,74,0
4995,74,1
5150,74,0
5847,74,1
5955,74,0
6665,74,1
6773,74,0
7439,32,1
7578,32,0
8334,74,1
8473,74,0
9154,74,1
9262,74,0
9942,32,1
10081,32,0
10808,74,1
10947,74,0
11457,32,1
12771,32,0
13248,74,1
13356,74,0
13697,32,1
15195,32,0
15797,74,1
15982,74,0
16261,74,1
16400,74,0
16601,32,1
17219,32,0
17466,74,1
17636,74,0
18085,32,1
19106,32,0
19540,74,1
19679,74,0
19956,74,1
20096,74,0
20357,74,1
20497,74,0
20743,65,1
20930,65,0
21516,74,1
21701,74,0
22348,68,1
22533,68,0
23198,32,1
23276,74,1
23416,74,0
23493,32,0
24066,74,1
24235,74,0
24683,32,1
25750,74,1
25890,74,0
25890,32,0
26305,68,1
26490,68,0
26893,74,1
27063,74,0
27743,32,1
30168,32,0
30215,74,1
30369,74,0
30570,74,1
30756,74,0
31218,32,1
32284,65,1
32500,65,0
32500,32,0
33088,32,1
33304,32,0
33782,32,1
35463,32,0
35571,74,1
35710,74,0
35958,74,1
36113,74,0
36358,74,1
36545,74,0
37133,32,1
38710,32,0
38834,32,1
39127,32,0
40536,74,1
40644,74,0
40920,32,1
42157,74,1
42157,32,0
42310,74,0
42588,74,1
42727,74,0
42990,74,1
43130,74,0
43376,32,1
44548,32,0
45427,32,1
45765,32,0
46197,32,1
46491,32,0
47078,74,1
47217,74,0
47524,74,1
47662,74,0
48311,65,1
48451,65,0
48699,74,1
48822,74,0
49101,74,1
49210,74,0
49505,74,1
49644,74,0
50354,68,1
50540,68,0
51559,32,1
53958,32,0
54945,74,1
55054,74,0
55300,32,1
56104,74,1
56212,74,0
56551,74,1
56659,74,0
56767,32,0
57262,32,1
57556,32,0
58130,74,1
58270,74,0
58547,74,1
58702,74,0
58963,74,1
59118,74,0
59380,74,1
59533,74,0
60199,65,1
60384,65,0
61033,74,1
61188,74,0
61823,74,1
61962,74,0
62241,74,1
62395,74,0
62687,74,1
62826,74,0
63505,68,1
63660,68,0
64754,74,1
64894,74,0
65187,74,1
65326,74,0
65927,74,1
66082,74,0
66779,32,1
67596,74,1
67735,74,0
67951,32,0
68447,74,1
68585,74,0
68847,74,1
68986,74,0
69295,74,1
69435,74,0
70100,74,1
70239,74,0
70887,32,1
71073,32,0
71752,74,1
71892,74,0
72140,74,1
72279,74,0
73377,74,1
73532,74,0
74136,32,1
74351,32,0
75015,74,1
75154,74,0
75416,74,1
75554,74,0
76681,74,1
76820,74,0
77267,74,1
77405,74,0
77869,74,1
78023,74,0
78301,32,1
78887,32,0
79057,32,1
79706,32,0
79877,32,1
81302,32,0
81627,74,1
81766,74,0
82432,74,1
82572,74,0
84028,32,1
84243,32,0
84861,74,1
85001,74,0
85295,74,1
85434,74,0
85713,32,1
86700,32,0
86854,32,1
87102,32,0
87767,74,1
87952,74,0
88169,32,1
89332,32,0
89410,74,1
89549,74,0
90137,32,1
90586,32,0
91035,74,1
91220,74,0
91452,74,1
91607,74,0
91884,74,1
92023,74,0
92300,32,1
92964,32,0
93088,74,1
93273,74,0
94730,74,1
94883,74,0
95162,74,1
95301,74,0
95593,32,1
96394,32,0
114445,74,1
114584,74,0
114908,74,1
115046,74,0
115263,32,1
115924,32,0
116079,32,1
117502,32,0
117733,32,1
119593,32,0
120228,74,1
120381,74,0
120799,32,1
121650,32,0
121882,74,1
121990,74,0
122283,74,1
122422,74,0
122746,32,1
123301,74,1
123440,74,0
123703,32,0
123890,74,1
124029,74,0
124307,74,1
124462,74,0
124772,74,1
124910,74,0
125204,32,1
125930,32,0
127598,74,1
127785,74,0
128001,74,1
128140,74,0
128402,74,1
128587,74,0
130007,32,1
130438,32,0
130920,74,1
131089,74,0
131723,74,1
131909,74,0
132155,32,1
132957,74,1
133143,74,0
133283,32,0
133749,74,1
133936,74,0
134246,32,1
135190,32,0
135452,74,1
135592,74,0
136117,32,1
136411,32,0
137091,74,1
137231,74,0
138298,74,1
138453,74,0
139087,32,1
139768,74,1
139923,74,0
140109,32,0
140775,74,1
140929,74,0
141206,74,1
141345,74,0
141593,32,1
142244,32,0
142414,32,1
143763,32,0
144011,32,1
145372,32,0
145621,32,1
146084,32,0
146501,74,1
146670,74,0
147132,32,1
147749,74,1
147902,74,0
148195,74,1
148303,74,0
148411,32,0
148936,32,1
150032,32,0
150247,74,1
150370,74,0
150648,74,1
150788,74,0
151035,74,1
151174,74,0
151482,74,1
151620,74,0
152313,32,1
153409,32,0
153948,74,1
154087,74,0
154333,74,1
154472,74,0
155537,32,1
156712,32,0
157221,74,1
157376,74,0
158010,74,1
158164,74,0
158535,32,1
159232,74,1
159386,74,0
159680,32,0
160081,74,1
160236,74,0
160468,74,1
160622,74,0
160916,74,1
161054,74,0
161768,32,1
163158,32,0
163374,74,1
163512,74,0
163791,74,1
163945,74,0
164225,74,1
164410,74,0
164704,32,1
165478,32,0
167132,74,1
167241,74,0
167520,74,1
167658,74,0
167935,74,1
168121,74,0
170420,32,1
172472,32,0
173646,32,1
175695,32,0
176962,32,1
179092,32,0
181857,32,1
182984,32,0
183061,32,1
184639,32,0
184701,32,1
186821,32,0
188829,32,1
195767,32,0
